pair,threads,repeat,search_seconds,trials_a,trials_b
1_kilo,1,1,,,
1_kilo,1,2,,,
1_kilo,1,3,,,
1_kilo,2,1,,,
1_kilo,2,2,,,
1_kilo,2,3,,,
1_kilo,4,1,,,
1_kilo,4,2,,,
1_kilo,4,3,,,
1_kilo,8,1,,,
1_kilo,8,2,,,
1_kilo,8,3,,,
1_kilo,16,1,,,
1_kilo,16,2,,,
1_kilo,16,3,,,
1_kilo,24,1,,,
1_kilo,24,2,,,
1_kilo,24,3,,,
1_kilo,32,1,,,
1_kilo,32,2,,,
1_kilo,32,3,,,
1_kilo,48,1,,,
1_kilo,48,2,,,
1_kilo,48,3,,,
1_kilo,64,1,,,
1_kilo,64,2,,,
1_kilo,64,3,,,
1_kilo,96,1,,,
1_kilo,96,2,,,
1_kilo,96,3,,,
2_mega,1,1,,,
2_mega,1,2,,,
2_mega,1,3,,,
2_mega,2,1,,,
2_mega,2,2,,,
2_mega,2,3,,,
2_mega,4,1,,,
2_mega,4,2,,,
2_mega,4,3,,,
2_mega,8,1,,,
2_mega,8,2,,,
2_mega,8,3,,,
2_mega,16,1,,,
2_mega,16,2,,,
2_mega,16,3,,,
2_mega,24,1,,,
2_mega,24,2,,,
2_mega,24,3,,,
2_mega,32,1,,,
2_mega,32,2,,,
2_mega,32,3,,,
2_mega,48,1,,,
2_mega,48,2,,,
2_mega,48,3,,,
2_mega,64,1,,,
2_mega,64,2,,,
2_mega,64,3,,,
2_mega,96,1,,,
2_mega,96,2,,,
2_mega,96,3,,,
3_giga,1,1,,,
3_giga,1,2,,,
3_giga,1,3,,,
3_giga,2,1,,,
3_giga,2,2,,,
3_giga,2,3,,,
3_giga,4,1,,,
3_giga,4,2,,,
3_giga,4,3,,,
3_giga,8,1,,,
3_giga,8,2,,,
3_giga,8,3,,,
3_giga,16,1,,,
3_giga,16,2,,,
3_giga,16,3,,,
3_giga,24,1,,,
3_giga,24,2,,,
3_giga,24,3,,,
3_giga,32,1,,,
3_giga,32,2,,,
3_giga,32,3,,,
3_giga,48,1,,,
3_giga,48,2,,,
3_giga,48,3,,,
3_giga,64,1,,,
3_giga,64,2,,,
3_giga,64,3,,,
3_giga,96,1,,,
3_giga,96,2,,,
3_giga,96,3,,,
4_tera,1,1,,,
4_tera,1,2,,,
4_tera,1,3,,,
4_tera,2,1,,,
4_tera,2,2,,,
4_tera,2,3,,,
4_tera,4,1,,,
4_tera,4,2,,,
4_tera,4,3,,,
4_tera,8,1,,,
4_tera,8,2,,,
4_tera,8,3,,,
4_tera,16,1,,,
4_tera,16,2,,,
4_tera,16,3,,,
4_tera,24,1,,,
4_tera,24,2,,,
4_tera,24,3,,,
4_tera,32,1,,,
4_tera,32,2,,,
4_tera,32,3,,,
4_tera,48,1,,,
4_tera,48,2,,,
4_tera,48,3,,,
4_tera,64,1,,,
4_tera,64,2,,,
4_tera,64,3,,,
4_tera,96,1,,,
4_tera,96,2,,,
4_tera,96,3,,,
5_peta,1,1,,,
5_peta,1,2,,,
5_peta,1,3,,,
5_peta,2,1,,,
5_peta,2,2,,,
5_peta,2,3,,,
5_peta,4,1,,,
5_peta,4,2,,,
5_peta,4,3,,,
5_peta,8,1,,,
5_peta,8,2,,,
5_peta,8,3,,,
5_peta,16,1,,,
5_peta,16,2,,,
5_peta,16,3,,,
5_peta,24,1,,,
5_peta,24,2,,,
5_peta,24,3,,,
5_peta,32,1,,,
5_peta,32,2,,,
5_peta,32,3,,,
5_peta,48,1,,,
5_peta,48,2,,,
5_peta,48,3,,,
5_peta,64,1,,,
5_peta,64,2,,,
5_peta,64,3,,,
5_peta,96,1,,,
5_peta,96,2,,,
5_peta,96,3,,,
6_exa,1,1,,,
6_exa,1,2,,,
6_exa,1,3,,,
6_exa,2,1,,,
6_exa,2,2,,,
6_exa,2,3,,,
6_exa,4,1,,,
6_exa,4,2,,,
6_exa,4,3,,,
6_exa,8,1,,,
6_exa,8,2,,,
6_exa,8,3,,,
6_exa,16,1,,,
6_exa,16,2,,,
6_exa,16,3,,,
6_exa,24,1,,,
6_exa,24,2,,,
6_exa,24,3,,,
6_exa,32,1,,,
6_exa,32,2,,,
6_exa,32,3,,,
6_exa,48,1,,,
6_exa,48,2,,,
6_exa,48,3,,,
6_exa,64,1,,,
6_exa,64,2,,,
6_exa,64,3,,,
6_exa,96,1,,,
6_exa,96,2,,,
6_exa,96,3,,,
